Id,objectid,name,y,x,the_geom,id
38,39,Traffic Police,27.7509027,85.8212041,0101000020E610000004C5A39B8E745540A043CC283BC03B40,39
88,89,Traffic Police,26.723844,85.9161762,0101000020E6100000886280A1A27A5540102025D74DB93A40,89
163,165,Traffic Police,27.6624293,83.0463196,0101000020E6100000BC6F7BE6F6C25440800275F794A93B40,165
229,232,Traffic Police Durbar murg,27.713044,85.3179788,0101000020E61000001094C0C359545540203E360D8AB63B40,232
20,21,Traffic police maha sakha,27.6994184,85.3214863,0101000020E610000044E3453B93545540B0F591150DB33B40,21
190,192,Traffic Police Office,28.2089021,83.9863447,0101000020E61000008C1B854520FF54405080A69B7A353C40,192
207,210,Traffic Police Post,29.2268094,81.9511131,0101000020E6100000B4B47A09DF7C544000004C2E103A3D40,210
16,17,Traffic station,27.694123,85.2821442,0101000020E61000001C818BA60E525540B028810BB2B13B40,17
226,229,Traffick Police Post,27.6698403,85.4105113,0101000020E610000000C62FD1455A554050B767A77AAB3B40,229
68,69,Unified maoist camp previoulsy,26.6642214,87.7269249,0101000020E61000001C1B04F085EE5540B094E7690AAA3A40,69
57,58,wada prahari karyalaya siraha road,26.5376059,86.7459048,0101000020E6100000603B7CE7BCAF5540D0BE4D8AA0893A40,58
193,195,Ward City Police Office,27.4203475,85.0390006,0101000020E610000078455FFC7E425540F0E5CBE49B6B3B40,195
102,103,Ward Police Office,28.0595216,81.6318182,0101000020E610000064739AB56F68544020BABCCE3C0F3C40,103
150,152,"Ward Police Station, Gagangauda",28.1333702,84.0834953,0101000020E61000005001ACFC5705554090DEA88C24223C40,152
248,251,Yanchu Police station,29.9405427,81.8539267,0101000020E6100000CC962CBCA6765440D0C90968C7F03D40,251
237,240,Yari Police Post,30.1130097,81.4341181,0101000020E610000080104897C85B5440105D2534EE1C3E40,240
