FID,name,operator_t,isced_leve,Lat,Log,Remarks
1851,Rupy's School, , ,27.7040669,85.2861028, 
1852,Teach for Nepal Office, , ,27.6862001,85.3123188, 
1853,management association of nepal aname nagar, , ,27.6964754,85.3283484, 
1854,The british college, , ,27.692103,85.3195495, 
1855,Cha:Mati Driving School, , ,27.7229716,85.299763, 
1856,Orchid International College, , ,27.7023277,85.3466019, 
1857,Bijeshwori Gyan Mandir Sainik Mahavidyalaya, , ,27.7121657,85.2975626, 
1858,SEDUCON Pvt. Ltd., , ,27.6729718,85.4216874, 
1860,Occidental School ground, , ,27.6966693,85.3309295, 
1861,Land Mark Secondary School, , ,27.6870757,85.2774556, 
1862,Gyankunj College, , ,27.6934726,85.2908239, 
1864,Nepal Academy of Tourism and Hotel Management (NATHM), , ,27.6938831,85.2949151, 
1865,"MIRD, TU", , ,27.6867144,85.3279023, 
1866,Canvas Basanta Ritu English Boarding School, , ,27.7266599,85.3167392, 
1867,ni-laa montessori pre school and day care, , ,27.6810044,85.327214, 
1868,"Shree Ganesh Ma.Vi., Dukuchhap", , ,27.5868351,85.2918492, 
1869,Malpi Science Lab, , ,27.7236019,85.3288123, 
1870,SERC School, , ,27.7308154,85.3299801, 
1871,kohinoor montessori, , ,27.6420045,85.3789137, 
1872,Milestone Preschool, , ,27.6477986,85.3018757, 
1873,IDA, , ,27.7150729,85.3431051, 
1876,Tarapunja School, , ,27.6620762,85.3377776, 
1877, ,government, ,27.5946004,85.4635281, 
1878,Global pathshala, , ,27.6726161,85.3687406, 
1881,Gyaan Kunja, , ,27.6754184,85.2767752, 
1889,"Department of Music, Kathmandu University", , ,27.7168188,85.3437353, 
1892,Prime College (New Building), , ,27.7170365,85.3028299, 
1893,Uniglobe Higher Secondary School, , ,27.7073629,85.3190501, 
1895,Saraswati Higher Secondary School, , ,27.569326,85.3404198, 
1931,Shree Kulamaya Bhagwati School, , ,27.637829,85.3932983, 
1958,Mitra School, , ,27.6798186,85.3230552, 
1961,Shradanjalee EBS, , ,27.6764214,85.3047967, 
1964,Nazareth English Borarding School,private, ,27.6825013,85.3033551, 
1965,Shree Mahendrodaya Ni Ma V,government, ,27.7653528,85.2371841, 
1966,Shree Bhanubhakta Ni Ma V,government, ,27.7404609,85.2119498, 
1967,Shree Bhadrapuri Sanakisan Pra V,government, ,27.7305731,85.2132648, 
1968,Shree Narayan Ni Ma V,government, ,27.749801,85.2093987, 
1969,Shree Mahankaleswori Ma V,government, ,27.7601859,85.1996522, 
